´ë¿©¼Ò_ID,nearest_subway_dist_m,nearest_bus_dist_m
ST-997,1011.88,24.27
ST-996,504.22,63.21
ST-995,777.29,65.25
ST-994,560.82,102.1
ST-993,401.02,97.4
ST-992,568.97,84.03
ST-991,973.38,97.25
ST-990,373.78,15.99
ST-99,55.87,93.35
ST-988,435.12,48.58
ST-987,579.63,136.53
ST-986,746.74,6.37
ST-985,29.37,48.28
ST-984,372.56,69.61
ST-983,56.39,46.68
ST-982,520.27,206.0
ST-981,666.0,119.28
ST-980,1058.33,353.32
ST-98,355.29,116.2
ST-979,932.95,43.19
ST-978,874.56,128.06
ST-977,240.51,207.11
ST-976,46.36,12.04
ST-975,150.43,74.41
ST-974,598.77,411.1
ST-973,444.24,297.31
ST-972,230.51,195.85
ST-971,441.41,43.98
ST-970,552.5,20.41
ST-97,110.78,76.91
ST-969,440.09,90.21
ST-968,436.9,76.22
ST-967,676.31,427.87
ST-966,546.23,167.58
ST-965,66.06,79.36
ST-964,657.62,195.37
ST-963,80.22,27.69
ST-962,477.46,31.27
ST-961,524.73,146.34
ST-960,466.51,22.05
ST-96,394.67,108.08
ST-959,212.93,20.97
ST-958,1225.77,24.53
ST-957,746.57,64.39
ST-956,806.02,35.1
ST-955,81.28,73.71
ST-954,527.75,42.71
ST-953,305.33,27.52
ST-952,821.06,18.67
ST-951,288.18,37.36
ST-950,236.83,43.93
ST-95,123.9,92.98
ST-949,826.14,62.85
ST-948,78.92,62.6
ST-947,348.36,106.73
ST-946,248.02,58.08
ST-945,217.61,58.04
ST-944,113.36,40.72
ST-943,108.13,42.42
ST-942,700.63,91.6
ST-941,3146.76,17.97
ST-940,2915.55,86.49
ST-94,307.97,59.79
ST-939,2308.74,49.43
ST-938,1748.46,48.59
ST-937,410.71,7.29
ST-936,266.41,34.8
ST-935,307.52,94.54
ST-934,230.99,141.91
ST-933,73.93,53.93
ST-932,27.82,40.61
ST-931,362.92,19.65
ST-930,57.69,88.01
ST-93,173.87,26.49
ST-929,1647.22,77.04
ST-928,193.03,108.87
ST-927,313.32,16.27
ST-926,1144.33,56.15
ST-925,75.9,50.22
ST-924,94.16,91.43
ST-923,34.66,104.41
ST-922,119.77,15.2
ST-921,23.17,47.12
ST-920,133.81,11.84
ST-92,876.04,26.8
ST-919,442.45,38.68
ST-918,135.81,21.84
ST-917,101.71,42.13
ST-916,248.18,31.53
ST-915,102.67,45.84
ST-914,111.07,72.78
ST-913,107.8,8.84
ST-912,348.86,60.36
ST-911,21.28,33.17
ST-910,76.05,80.16
ST-91,705.37,45.17
ST-909,575.78,173.85
ST-908,531.46,24.56
ST-907,237.32,101.46
ST-906,133.07,3.65
ST-905,113.93,50.68
ST-904,477.84,33.71
ST-903,253.6,24.83
ST-902,553.83,112.1
ST-901,565.35,41.16
ST-900,681.34,150.91
ST-90,483.23,13.21
ST-9,456.39,45.48
ST-899,683.42,192.74
ST-898,532.65,189.23
ST-897,459.64,78.15
ST-896,541.31,99.35
ST-895,29.1,89.15
ST-894,296.12,76.31
ST-893,68.98,208.84
ST-892,28.77,59.51
ST-891,72.41,51.18
ST-890,772.92,75.1
ST-89,111.08,150.85
ST-889,837.68,163.24
ST-888,468.81,48.7
ST-887,69.13,85.75
ST-886,309.01,20.4
ST-885,56.57,51.78
ST-884,376.29,75.65
ST-883,607.27,141.51
ST-882,566.16,3.12
ST-881,1319.49,102.12
ST-880,1590.82,32.65
ST-88,814.34,51.11
ST-879,1045.95,111.7
ST-878,20.99,32.39
ST-877,459.46,8.74
ST-876,52.17,51.24
ST-875,798.58,43.83
ST-874,658.73,47.59
ST-873,139.97,76.69
ST-872,55.41,10.98
ST-871,174.87,8.92
ST-870,53.76,64.62
ST-87,123.96,121.24
