"동별(1)",동별(2),2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4,2023 4/4
"동별(1)",동별(2),합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계,합계
"동별(1)",동별(2),소계,0세,1세,2세,3세,4세,5세,6세,7세,8세,9세,10세,11세,12세,13세,14세,15세,16세,17세,18세,19세,20세,21세,22세,23세,24세,25세,26세,27세,28세,29세,30세,31세,32세,33세,34세,35세,36세,37세,38세,39세,40세,41세,42세,43세,44세,45세,46세,47세,48세,49세,50세,51세,52세,53세,54세,55세,56세,57세,58세,59세,60세,61세,62세,63세,64세,65세,66세,67세,68세,69세,70세,71세,72세,73세,74세,75세,76세,77세,78세,79세,80세,81세,82세,83세,84세,85세,86세,87세,88세,89세,90세,91세,92세,93세,94세,95세,96세,97세,98세,99세,100세 이상+
"합계",소계,9386034,37771,41087,43013,43637,47506,50291,55100,62036,66691,66430,66672,74287,71911,72773,69371,73898,78204,72331,70353,83411,90143,91928,107831,131911,133245,144366,156937,161989,167679,169782,166912,167885,160863,144144,138171,135207,128904,127826,129669,127824,140499,149016,150876,149267,147369,125833,136639,134499,137417,148658,154267,157344,165379,159648,157049,152744,142296,130464,138553,137813,131053,141351,144609,149541,140281,130606,130134,118290,124747,105326,92368,100301,69598,77304,77477,76056,77140,61726,53348,53151,50902,58700,45877,37680,35672,29804,25648,21523,18774,14634,11300,9131,6569,5341,4468,3233,2360,1387,887,670,1448
"합계",종로구,139417,390,460,479,470,543,552,655,726,834,810,819,937,891,994,899,947,1090,982,924,1256,1355,1498,1772,2186,2302,2298,2490,2529,2561,2505,2441,2390,2285,1986,1780,1733,1738,1590,1754,1625,1906,1910,2080,1919,1968,1724,1803,1860,1917,2107,2289,2420,2647,2571,2487,2457,2376,2100,2282,2286,2177,2332,2370,2338,2115,1989,2014,1814,1939,1601,1368,1530,1005,1118,1197,1167,1240,986,921,971,904,1076,882,732,734,646,492,461,392,325,224,201,138,110,87,71,56,38,17,19,35
"합계",중구,121312,472,535,591,547,542,524,577,639,627,576,621,658,553,554,512,570,671,598,576,843,970,1055,1304,1702,1696,1893,2082,2107,2298,2430,2472,2527,2388,2095,2076,2076,1883,1777,1851,1719,1896,1832,1852,1822,1702,1488,1508,1451,1530,1688,1759,1833,2045,2028,2060,2037,1920,1666,1833,1887,1863,1961,1990,2054,1895,1785,1832,1720,1724,1509,1261,1364,958,1083,1100,1074,1123,887,798,843,784,920,783,598,584,502,405,396,335,254,226,157,131,94,96,70,57,21,11,13,27
"합계",용산구,213151,927,1008,1005,1034,1094,1110,1112,1225,1288,1286,1251,1330,1249,1301,1263,1322,1454,1361,1398,1691,1810,1942,2294,2804,2784,3029,3455,3664,4008,4313,4292,4441,4315,4021,3654,3519,3339,3298,3355,3176,3325,3495,3384,3480,3105,2721,2902,2805,2889,3182,3293,3649,3852,3705,3704,3533,3330,2928,3190,3133,3137,3302,3204,3269,3173,2844,2898,2609,2623,2267,1974,2032,1425,1615,1604,1632,1621,1291,1209,1219,1190,1396,1146,964,937,894,742,663,512,461,347,268,227,157,151,110,66,38,28,23,56
"합계",성동구,277361,1409,1558,1604,1625,1660,1736,1741,1872,1854,1834,1778,1780,1659,1571,1552,1731,1925,1752,1752,2351,2653,2733,3272,4211,4147,4462,4713,4851,5018,4919,4926,5050,4853,4732,4385,4552,4331,4341,4252,4242,4447,4687,4530,4354,4144,3492,3767,3717,3757,4031,4378,4397,4828,4782,4789,4596,4276,3886,4354,4163,3982,4378,4366,4529,4084,3796,3741,3428,3374,2900,2512,2651,1888,2139,2160,2010,2190,1772,1532,1553,1536,1777,1348,1169,1062,906,818,714,530,457,322,254,184,146,130,88,68,26,20,15,44
"합계",광진구,335554,1120,1204,1261,1271,1434,1460,1577,1839,2046,1996,2130,2319,2274,2306,2224,2381,2576,2475,2335,2784,3378,3394,4397,5721,5971,6665,7032,7302,7562,7427,7103,7048,6448,5692,5256,5046,4713,4584,4700,4353,4768,5139,5071,5005,4938,4166,4718,4540,4761,4997,5232,5431,5754,5617,5558,5585,5239,4808,5028,4904,4643,5077,5152,5263,4895,4571,4441,3939,4170,3385,2990,3353,2161,2445,2333,2487,2485,1946,1656,1715,1642,1814,1496,1234,1176,983,819,674,603,487,350,290,209,151,135,97,84,34,33,30,43
"합계",동대문구,341149,1390,1497,1549,1682,1822,1814,1996,2133,2249,2170,2094,2346,2155,2165,2041,2172,2345,2129,2128,3032,3828,4142,5220,6320,6201,6364,6383,6257,6102,6055,5827,5696,5464,4966,4745,4611,4554,4504,4619,4476,5113,5254,5273,5127,5009,4292,4568,4394,4695,4970,5139,5386,5642,5629,5616,5330,5028,4852,4981,4937,4698,5130,5346,5515,5192,4834,4861,4388,4621,3971,3439,3845,2600,2875,2872,2963,3017,2421,2190,2126,2175,2424,1940,1566,1451,1241,1059,881,720,623,419,334,236,199,159,109,80,42,31,21,57
"합계",중랑구,382155,1702,1755,1654,1580,1828,1910,1973,2248,2326,2138,2269,2450,2324,2290,2208,2337,2480,2465,2353,2784,3072,3154,3829,4626,4799,5202,5890,6053,6600,6817,6760,7010,6492,5866,5628,5422,5268,5129,5144,5098,5256,5832,5774,5829,5542,4585,4982,4798,5040,5501,5954,6102,6686,6516,6726,6892,6592,6198,6496,6568,6211,6958,7258,7225,6910,6207,6099,5645,5777,5028,4208,4562,3204,3466,3469,3433,3441,2759,2349,2378,2282,2648,2100,1643,1583,1283,1073,900,771,597,475,362,261,208,156,151,88,63,41,28,53
"합계",성북구,425602,1696,1878,2008,1988,2226,2390,2594,2989,3213,3115,3091,3416,3431,3361,3198,3360,3771,3428,3371,4575,5237,5501,6443,7358,7018,6800,6944,6564,6437,6391,6187,6314,5929,5454,5391,5344,5298,5313,5483,5400,6186,6420,6579,6601,6510,5592,5954,6160,6365,7069,7514,7720,8031,7768,7559,7175,6655,6016,6244,6267,5769,6179,6359,6692,6081,5777,5810,5230,5529,4574,4078,4482,2987,3442,3529,3482,3559,2941,2509,2621,2557,3016,2394,1960,1876,1515,1307,1069,983,734,521,426,326,283,217,169,123,73,46,28,59
"합계",강북구,288113,791,808,945,998,1004,1178,1343,1426,1551,1531,1693,1880,1777,1835,1827,1866,2017,1939,1946,2361,2786,2890,3344,3984,3821,4047,4251,4251,4399,4382,4168,4217,3943,3381,3339,3238,3096,3118,3197,3300,3607,4052,4006,4093,4132,3509,3911,3917,4089,4586,4925,5004,5461,5243,5184,5312,4947,4493,4966,4730,4723,5054,5141,5530,5157,4666,4675,4312,4600,3998,3365,3805,2810,3059,3172,3169,3228,2502,2295,2355,2254,2710,2155,1585,1556,1256,1055,928,770,542,414,303,224,198,170,109,79,45,34,28,47
"합계",도봉구,306948,952,1070,1126,1112,1308,1406,1571,1773,1922,2002,1918,2171,2165,2188,2127,2209,2483,2269,2189,2653,2813,2906,3297,3842,3726,3905,4205,4088,4305,4352,4290,4315,4108,3698,3611,3470,3425,3439,3635,3616,4019,4296,4468,4400,4304,3632,4113,4157,4345,4780,5138,5265,5818,5734,5582,5762,5353,5097,5274,5240,5040,5569,5722,6107,5699,5318,5343,4818,5113,4249,3569,3968,2789,3013,2882,3036,3036,2403,2162,2106,2167,2526,2007,1635,1591,1311,1088,899,783,570,505,410,271,207,178,146,98,68,27,24,58
"합계",노원구,498213,2000,2137,2053,2147,2285,2371,2843,3261,3620,3708,3734,4310,4375,4539,4469,4973,5199,4811,4896,5866,5998,5791,6836,7707,6996,6922,6733,6383,6541,6394,6514,6784,6581,6053,6029,5949,5632,5733,5830,5917,6683,7277,7412,7632,7718,6745,7585,7594,7968,8787,9091,9286,9867,9536,9091,8929,8079,7486,7668,7408,7336,7843,8110,8203,7650,7353,7173,6654,6926,5869,5002,5500,3747,4178,4140,3996,4107,3325,2853,2865,2824,3382,2567,2143,2060,1784,1557,1265,1142,929,725,579,407,358,282,187,152,88,53,52,85
"합계",은평구,466770,1740,2020,2053,2102,2220,2399,2554,2936,3196,3054,3100,3499,3354,3514,3340,3562,3901,3719,3511,4039,4380,4445,4956,5892,6074,6338,7052,7320,7564,7774,7652,7805,7452,6759,6354,6247,5961,5976,6063,6084,6934,7181,7454,7316,7162,6044,6846,6622,6946,7736,8209,8165,8647,8227,8173,7984,7356,6893,7059,7124,6854,7331,7648,7864,7469,6810,6792,6153,6385,5538,4831,5200,3749,4116,4153,4137,4306,3401,2973,2969,2947,3447,2652,2198,2108,1724,1508,1305,1044,812,590,467,343,244,207,140,122,62,43,32,57
"합계",서대문구,306231,1298,1427,1514,1549,1551,1743,1895,2104,2183,2259,2106,2250,2056,2174,2103,2092,2217,2224,2126,2775,3300,3563,4328,5121,5113,5293,5466,5550,5407,5291,5222,5045,5047,4404,4294,4204,4141,4149,4272,4129,4480,4798,4751,4581,4429,3926,4248,4071,4268,4701,4835,5121,5492,5234,5273,5007,4678,4232,4587,4434,4224,4511,4632,4759,4386,4142,4059,3643,3803,3202,2830,3045,2095,2449,2468,2352,2632,2113,1837,1855,1843,2249,1779,1465,1481,1190,1042,913,784,545,415,365,238,227,171,103,86,51,27,27,62
